state,year,total_notifications
ACT,1991,293
ACT,1992,873
ACT,1993,797
ACT,1994,813
ACT,1995,1240
ACT,1996,1074
ACT,1997,1220
ACT,1998,1336
ACT,1999,1098
ACT,2000,1280
ACT,2001,1320
ACT,2002,1455
ACT,2003,1840
ACT,2004,1678
ACT,2005,1996
ACT,2006,2299
ACT,2007,2499
ACT,2008,2452
ACT,2009,3916
ACT,2010,3391
ACT,2011,3743
ACT,2012,3796
ACT,2013,3484
ACT,2014,4331
ACT,2015,4752
ACT,2016,5551
ACT,2017,6959
ACT,2018,4532
ACT,2019,8542
ACT,2020,4138
ACT,2021,10173
ACT,2022,228513
ACT,2023,33777
ACT,2024,17255
ACT,2025,19355
ACT,2026,732
NSW,1991,4981
NSW,1992,7165
NSW,1993,12502
NSW,1994,10361
NSW,1995,18669
NSW,1996,18036
NSW,1997,21000
NSW,1998,18493
NSW,1999,19819
NSW,2000,22669
NSW,2001,26627
NSW,2002,24765
NSW,2003,26047
NSW,2004,29539
NSW,2005,33134
NSW,2006,31731
NSW,2007,31059
NSW,2008,37293
NSW,2009,56694
NSW,2010,47350
NSW,2011,56983
NSW,2012,54163
NSW,2013,50738
NSW,2014,67554
NSW,2015,87544
NSW,2016,96843
NSW,2017,172866
NSW,2018,94319
NSW,2019,197701
NSW,2020,77425
NSW,2021,339345
NSW,2022,3556359
NSW,2023,537948
NSW,2024,473490
NSW,2025,422075
NSW,2026,17124
NT,1991,2765
NT,1992,2600
NT,1993,2795
NT,1994,3642
NT,1995,3098
NT,1996,2948
NT,1997,3287
NT,1998,3341
NT,1999,3430
NT,2000,3511
NT,2001,4784
NT,2002,4451
NT,2003,4720
NT,2004,5002
NT,2005,5744
NT,2006,6525
NT,2007,6797
NT,2008,6985
NT,2009,8548
NT,2010,7756
NT,2011,7732
NT,2012,7582
NT,2013,8607
NT,2014,8173
NT,2015,8375
NT,2016,8579
NT,2017,9476
NT,2018,9182
NT,2019,9096
NT,2020,6875
NT,2021,8047
NT,2022,116157
NT,2023,18274
NT,2024,15832
NT,2025,16199
NT,2026,1106
QLD,1991,10711
QLD,1992,12014
QLD,1993,16433
QLD,1994,19028
QLD,1995,16773
QLD,1996,22066
QLD,1997,21709
QLD,1998,22935
QLD,1999,20398
QLD,2000,19805
QLD,2001,23375
QLD,2002,25774
QLD,2003,25467
QLD,2004,27431
QLD,2005,30331
QLD,2006,38052
QLD,2007,39985
QLD,2008,43799
QLD,2009,65005
QLD,2010,54916
QLD,2011,62571
QLD,2012,68076
QLD,2013,56831
QLD,2014,70428
QLD,2015,88791
QLD,2016,84324
QLD,2017,119820
QLD,2018,78392
QLD,2019,134777
QLD,2020,69027
QLD,2021,92756
QLD,2022,1722903
QLD,2023,313203
QLD,2024,286937
QLD,2025,242764
QLD,2026,14627
SA,1991,2988
SA,1992,3393
SA,1993,5880
SA,1994,4931
SA,1995,8175
SA,1996,8340
SA,1997,9608
SA,1998,8409
SA,1999,6724
SA,2000,6709
SA,2001,9233
SA,2002,7680
SA,2003,7754
SA,2004,7727
SA,2005,9616
SA,2006,13062
SA,2007,12453
SA,2008,12598
SA,2009,26758
SA,2010,23753
SA,2011,21424
SA,2012,20809
SA,2013,20016
SA,2014,26193
SA,2015,32758
SA,2016,27269
SA,2017,49671
SA,2018,25275
SA,2019,47517
SA,2020,19224
SA,2021,35275
SA,2022,888442
SA,2023,150228
SA,2024,99773
SA,2025,82530
SA,2026,3726
TAS,1991,1483
TAS,1992,1076
TAS,1993,1842
TAS,1994,1058
TAS,1995,1629
TAS,1996,1373
TAS,1997,1141
TAS,1998,1154
TAS,1999,1928
TAS,2000,1570
TAS,2001,1922
TAS,2002,2349
TAS,2003,1832
TAS,2004,1827
TAS,2005,2470
TAS,2006,2511
TAS,2007,3142
TAS,2008,3597
TAS,2009,5038
TAS,2010,4368
TAS,2011,4423
TAS,2012,6345
TAS,2013,4342
TAS,2014,4770
TAS,2015,5463
TAS,2016,5244
TAS,2017,7530
TAS,2018,4630
TAS,2019,7807
TAS,2020,4342
TAS,2021,5812
TAS,2022,291111
TAS,2023,45112
TAS,2024,24854
TAS,2025,20773
TAS,2026,886
VIC,1991,8121
VIC,1992,10655
VIC,1993,10711
VIC,1994,10868
VIC,1995,14868
VIC,1996,16449
VIC,1997,19368
VIC,1998,15162
VIC,1999,18607
VIC,2000,19197
VIC,2001,21057
VIC,2002,20935
VIC,2003,22411
VIC,2004,24056
VIC,2005,26386
VIC,2006,27436
VIC,2007,30390
VIC,2008,31429
VIC,2009,45883
VIC,2010,48040
VIC,2011,55616
VIC,2012,54704
VIC,2013,55125
VIC,2014,64000
VIC,2015,75647
VIC,2016,76911
VIC,2017,114266
VIC,2018,78906
VIC,2019,140170
VIC,2020,79748
VIC,2021,252899
VIC,2022,2753828
VIC,2023,312027
VIC,2024,242415
VIC,2025,266254
VIC,2026,11755
WA,1991,3666
WA,1992,3411
WA,1993,3604
WA,1994,6135
WA,1995,7482
WA,1996,8941
WA,1997,9549
WA,1998,8591
WA,1999,8065
WA,2000,12070
WA,2001,9470
WA,2002,11926
WA,2003,12060
WA,2004,13987
WA,2005,13530
WA,2006,15108
WA,2007,19072
WA,2008,20522
WA,2009,25883
WA,2010,24623
WA,2011,29829
WA,2012,33576
WA,2013,30714
WA,2014,33286
WA,2015,34716
WA,2016,38727
WA,2017,37986
WA,2018,36255
WA,2019,54135
WA,2020,29744
WA,2021,28602
WA,2022,1321035
WA,2023,162666
WA,2024,80553
WA,2025,100714
WA,2026,5093
