term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.8068493160156939,0.14436921508495656,5.588790626456544,1.6608794971063963e-6,0.515289771281161,1.0984088607502267,M1
transmission_modeenteric,-0.24511720575708262,0.2125057306816312,-1.1534616265210693,0.2554010503421905,-0.6742812353222176,0.18404682380805243,M1
transmission_modevector_borne,-0.2627008998564545,0.2635809190378194,-0.9966612940550579,0.3247749992294635,-0.7950133648799218,0.2696115651670128,M1
transmission_modezoonotic,0.22050425600212514,0.2814274098309131,0.7835208949071744,0.4378242546050035,-0.3478499283565997,0.7888584403608501,M1
transmission_modeSTI,0.6127004135282268,0.2814274098309129,2.177117054434567,0.035282759131194094,0.04434622916950226,1.1810545978869513,M1
transmission_modeblood_borne,0.06101862810906272,0.2814274098309129,0.21681835520471834,0.8294251929955649,-0.5073355562496618,0.6293728124677873,M1
(Intercept),0.8068493160156939,0.13861303245561157,5.820876303778098,8.440181440805891e-7,0.5267019273439326,1.0869967046874551,M2
transmission_modeenteric,-0.04494612091706062,0.22490313115066138,-0.19984657700008393,0.842613112638064,-0.4994923044884865,0.40960006265436527,M2
transmission_modevector_borne,-0.022495598048428076,0.27737364334324144,-0.08110214718775734,0.9357651673258757,-0.5830886425290428,0.5380974464321867,M2
transmission_modezoonotic,0.316586376725336,0.27399656893376023,1.1554392011451502,0.2547660661870735,-0.23718134577504318,0.8703540992257153,M2
transmission_modeSTI,0.6127004135282268,0.27020654417103535,2.2675261822689228,0.028832525283872566,0.06659261680444228,1.1588082102520114,M2
transmission_modeblood_borne,0.06101862810906274,0.27020654417103535,0.2258221698377489,0.8224896396583758,-0.4850891686147218,0.6071264248328473,M2
border_sensitiveTRUE,-0.4804106036160529,0.22707615873419199,-2.1156364732169264,0.04065095332187808,-0.9393486397590092,-0.021472567473096615,M2
(Intercept),1.2047636525491539,0.17819133003244442,6.76106773730122,4.568582436314655e-8,0.8443376672632548,1.565189637835053,M3
transmission_modeenteric,-0.3479373356363617,0.22513804154715408,-1.5454400031435287,0.13031672526719273,-0.8033220080286492,0.10744733675592577,M3
transmission_modevector_borne,-0.43029775977086293,0.2824825183958907,-1.5232721734936305,0.13575900702738802,-1.0016725847993482,0.14107706525762242,M3
transmission_modezoonotic,-0.0852830898837144,0.27890196574620796,-0.3057816019888484,0.7613972451889428,-0.6494155635789728,0.478849383811544,M3
transmission_modeSTI,0.21478607699476668,0.2752783809516671,0.7802504368567847,0.43995353396505976,-0.34201700463859086,0.7715891586281243,M3
transmission_modeblood_borne,-0.21310013705843198,0.25953085407480875,-0.8210975061832405,0.4165818289464167,-0.7380508390649331,0.31185056494806906,M3
border_sensitiveTRUE,-0.46063495323810305,0.20551658985267796,-2.2413516766130828,0.030767711061598257,-0.8763314934500337,-0.04493841302617235,M3
vaccine_preventableTRUE,-0.618977856829827,0.1969395105135488,-3.142984641404617,0.0031906425946001222,-1.0173256165420663,-0.2206300971175877,M3
(Intercept),1.4756640517026396,0.1869032378446779,7.895337013524398,1.5643547149411615e-9,1.097298227793623,1.8540298756116562,M4
transmission_modeenteric,-0.3692257078749228,0.20584067915906207,-1.793745091511314,0.08081453029943843,-0.7859283774602042,0.04747696171035859,M4
transmission_modevector_borne,-0.5001543776477466,0.25919411755715344,-1.9296517311487997,0.06114086595712061,-1.024865436550761,0.024556681255267665,M4
transmission_modezoonotic,-0.29356286150996735,0.2644283975253826,-1.1101790286415365,0.27389784313024257,-0.8288701662329462,0.24174444321301147,M4
transmission_modeSTI,0.3130561484276684,0.25372254476593975,1.2338523118490088,0.22483501409515294,-0.20057829044939346,0.8266905873047302,M4
transmission_modeblood_borne,-0.26804178996393474,0.23786925184038615,-1.1268450541215593,0.26687370864544074,-0.749582915163719,0.21349933523584946,M4
border_sensitiveTRUE,-0.5785704732142078,0.19198924592827823,-3.01355667301462,0.004578917392048043,-0.9672323822052742,-0.18990856422314156,M4
vaccine_preventableTRUE,-0.6564129206400509,0.18039495324142948,-3.6387543489731016,8.113263497586018e-4,-1.0216034111811734,-0.2912224300989284,M4
log_baseline_rate,-0.116016705380477,0.0393050368892367,-2.9517007122373937,0.005390763178646482,-0.19558559267139242,-0.03644781808956156,M4
(Intercept),1.2543598656054054,0.118157819671595,10.615969972124935,1.363611415176489e-13,1.0160719123959319,1.4926478188148788,M5
border_sensitiveTRUE,-0.7959692319645156,0.1792319684762242,-4.441000334547484,6.163850862315893e-5,-1.1574249446427642,-0.434513519286267,M5
vaccine_preventableTRUE,-0.5557380276723954,0.15559070162474603,-3.571794598707611,8.889118609685681e-4,-0.8695165819114047,-0.2419594734333862,M5
log_baseline_rate,-0.08647758058362061,0.039106258827242814,-2.2113488525109757,0.0323776820399217,-0.1653428677015054,-0.007612293465735789,M5
